"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","location","long","lat"
"1","November 26, 2016","Illinois","Chicago","8800 block of South Exchange Avenue",1,5,"N/A","Chicago ,   Illinois",-87.6297982,41.8781136
"2","November 25, 2016","Louisiana","New Orleans","Magnolia and Felicity Street",0,4,"N/A","New Orleans ,   Louisiana",-90.0715323,29.9510658
"3","November 24, 2016","Kentucky","Louisville","4501 W Broadway",2,5,"N/A","Louisville ,   Kentucky",-85.7584557,38.2526647
"4","November 24, 2016","New York","Albany","77 Central Avenue",1,3,"N/A","Albany ,   New York",-73.7562317,42.6525793
"5","November 23, 2016","Mississippi","Olive Branch","928 Cross Road",0,4,"N/A","Olive Branch ,   Mississippi",-89.8295315,34.9617604
"6","November 22, 2016","Florida","Clewiston","1068 Harlem Academy Avenue",1,4,"N/A","Clewiston ,   Florida",-80.9336753,26.7542312
"7","November 18, 2016","Illinois","Chicago","5000 block of West Wabansia",0,4,"N/A","Chicago ,   Illinois",-87.6297982,41.8781136
"8","November 17, 2016","Tennessee","Dyersburg","160 Longfellow",1,7,"N/A","Dyersburg ,   Tennessee",-89.3856281,36.0345159
"9","November 13, 2016","California","San Diego","3800 block of Marlborough Avenue",3,2,"N/A","San Diego ,   California",-117.1610838,32.715738
"10","November 13, 2016","Florida","Jacksonville","5105 Cleveland Rd",3,2,"N/A","Jacksonville ,   Florida",-81.655651,30.3321838
"11","November 13, 2016","Florida","Orlando","Conley Street and South Ivey Lane",0,4,"N/A","Orlando ,   Florida",-81.3792365,28.5383355
"12","November 13, 2016","Texas","San Antonio","8000 Midcrown",0,4,"N/A","San Antonio ,   Texas",-98.4936282,29.4241219
"13","November 12, 2016","Connecticut","Bridgeport","2500 Park Avenue",0,5,"N/A","Bridgeport ,   Connecticut",-73.1951767,41.1865478
"14","November 12, 2016","California","Sacramento","8600 block of Ardith Drive",1,5,"N/A","Sacramento ,   California",-121.4943996,38.5815719
"15","November 12, 2016","Missouri","Kansas City","21st Street and Cleveland Avenue",1,3,"N/A","Kansas City ,   Missouri",-94.5785667,39.0997265
"16","November 11, 2016","Texas","Houston","7705 Channelside Street",0,4,"N/A","Houston ,   Texas",-95.3698028,29.7604267
"17","November 10, 2016","Texas","Houston","N/A",1,3,"N/A","Houston ,   Texas",-95.3698028,29.7604267
"18","November 9, 2016","Illinois","Chicago","3400 block of West Monroe",1,3,"N/A","Chicago ,   Illinois",-87.6297982,41.8781136
"19","November 9, 2016","Tennessee","Memphis","1800 block of East Brooks Road",0,4,"N/A","Memphis ,   Tennessee",-90.0489801,35.1495343
"20","November 9, 2016","Washington","Seattle","1524 3rd Ave",0,5,"N/A","Seattle ,   Washington",-122.3320708,47.6062095
"21","November 5, 2016","Florida","Fort Lauderdale (Lauderhill)","3135 West Broward Boulevard",1,3,"N/A","Fort Lauderdale (Lauderhill) ,   Florida",-80.2045537,26.1462363
"22","November 5, 2016","South Carolina","Myrtle Beach","803 Main Street",0,5,"N/A","Myrtle Beach ,   South Carolina",-78.8866943,33.6890603
"23","November 5, 2016","California","Oakland","420 14th Street",0,8,"N/A","Oakland ,   California",-122.2711137,37.8043637
"24","November 5, 2016","Illinois","Chicago","4800 block of North Winthrop",0,5,"N/A","Chicago ,   Illinois",-87.6297982,41.8781136
"25","November 5, 2016","Texas","San Antonio","10726 Perrin Beitel Road",0,4,"N/A","San Antonio ,   Texas",-98.4936282,29.4241219
"26","November 4, 2016","Pennsylvania","Philadelphia","5451 Springfield Avenue",0,4,"N/A","Philadelphia ,   Pennsylvania",-75.1652215,39.9525839
"27","November 3, 2016","Illinois","Chicago","8000 block of South Shore Drive",2,2,"N/A","Chicago ,   Illinois",-87.6297982,41.8781136
"28","November 2, 2016","Arkansas","Little Rock","2111 Bragg Street",1,4,"N/A","Little Rock ,   Arkansas",-92.2895948,34.7464809
"29","November 1, 2016","Tennessee","Memphis","5200 block of Zodiac Rd",1,5,"N/A","Memphis ,   Tennessee",-90.0489801,35.1495343
"30","October 31, 2016","Louisiana","Shreveport","700 Block of  Central Street",0,4,"N/A","Shreveport ,   Louisiana",-93.7501789,32.5251516
"31","October 30, 2016","Ohio","Toledo","742 Junction Avenue",0,4,"N/A","Toledo ,   Ohio",-83.555212,41.6639383
"32","October 30, 2016","New York","New York (Manhattan)","135 Ridge Street",0,4,"N/A","New York (Manhattan) ,   New York",-73.9712488,40.7830603
"33","October 30, 2016","Maryland","Capitol Heights","6860 Walker Mill Road",2,4,"N/A","Capitol Heights ,   Maryland",-76.9158068,38.8851122
"34","October 30, 2016","Texas","San Antonio","2900 block of Aspen Meadow",0,5,"N/A","San Antonio ,   Texas",-98.4936282,29.4241219
"35","October 30, 2016","New York","Newburgh","119 Broadway",2,5,"N/A","Newburgh ,   New York",-74.0104178,41.5034271
"36","October 29, 2016","Ohio","Dayton","2010 Cornell Ridge Drive",1,3,"N/A","Dayton ,   Ohio",-84.1916069,39.7589478
"37","October 29, 2016","California","Los Angeles","1600 block of Century Boulevard",0,5,"N/A","Los Angeles ,   California",-118.2436849,34.0522342
"38","October 29, 2016","California","Riverside","3500 block of Madison Street",0,4,"N/A","Riverside ,   California",-117.3961564,33.9533487
"39","October 28, 2016","Florida","Miami Gardens","Northwest 173rd Terrace and 27th Avenue",0,4,"N/A","Miami Gardens ,   Florida",-80.2456045,25.9420377
"40","October 28, 2016","Mississippi","Jackson","200 block of Lorenz Boulevard",0,6,"N/A","Jackson ,   Mississippi",-90.1848103,32.2987573
"41","October 27, 2016","Georgia","Mcdonough (Mc Donough)","600 block of Moccasin Gap Road",4,0,"N/A","Mcdonough (Mc Donough) ,   Georgia",-84.1468616,33.4473361
"42","October 25, 2016","Virginia","Roanoke","830 Campbell Avenue Southeast",2,3,"N/A","Roanoke ,   Virginia",-79.9414266,37.2709704
"43","October 25, 2016","Ohio","Dayton","3300 block of Riverside Drive",1,3,"N/A","Dayton ,   Ohio",-84.1916069,39.7589478
"44","October 23, 2016","Oklahoma","Wellston","Highway 66 and S. 3310 Road",1,5,"N/A","Wellston ,   Oklahoma",-97.063363,35.6942278
"45","October 22, 2016","California","Oakland","77th and Bancroft Avenues",0,7,"N/A","Oakland ,   California",-122.2711137,37.8043637
"46","October 18, 2016","California","San Francisco","325 La Grande Avenue",0,4,"N/A","San Francisco ,   California",-122.4194155,37.7749295
"47","October 17, 2016","Illinois","Chicago (Englewood)","6700 block of South Winchester",1,4,"N/A","Chicago (Englewood) ,   Illinois",-87.6416419,41.775305
"48","October 15, 2016","Alabama","Mobile","1800 block of St Stephens Road",0,5,"N/A","Mobile ,   Alabama",-88.0398912,30.6953657
"49","October 15, 2016","California","Los Angeles","2918 Rimpau Boulevard",4,11,"N/A","Los Angeles ,   California",-118.2436849,34.0522342
"50","October 15, 2016","Illinois","Rockford","7801 East State Street",1,5,"N/A","Rockford ,   Illinois",-89.0939952,42.2711311
"51","October 14, 2016","Illinois","Chicago","3300 block of Maypole",1,6,"N/A","Chicago ,   Illinois",-87.6297982,41.8781136
"52","October 13, 2016","Illinois","Chicago","2700 block of West Lexington",0,4,"N/A","Chicago ,   Illinois",-87.6297982,41.8781136
"53","October 9, 2016","Michigan","Grand Rapids","1850 28th Street SE",1,8,"N/A","Grand Rapids ,   Michigan",-85.6680863,42.9633599
"54","October 9, 2016","California","Sacramento","1696 Arden Way",1,3,"N/A","Sacramento ,   California",-121.4943996,38.5815719
"55","October 8, 2016","New York","Brooklyn","7301 3rd Avenue",0,4,"N/A","Brooklyn ,   New York",-73.9441579,40.6781784
"56","October 4, 2016","Louisiana","New Orleans","3727 Ulloa Street",3,2,"N/A","New Orleans ,   Louisiana",-90.0715323,29.9510658
"57","October 3, 2016","Minnesota","Minneapolis","Fourth Street and Hennepin Avenue",0,4,"N/A","Minneapolis ,   Minnesota",-93.2650108,44.977753
"58","October 2, 2016","Texas","San Antonio","2600 South Flores Street",1,4,"N/A","San Antonio ,   Texas",-98.4936282,29.4241219
"59","October 1, 2016","Illinois","Pembroke Township","17250E Road",4,0,"N/A","Pembroke Township ,   Illinois",-87.5791287,41.0543785
"60","October 1, 2016","California","Fresno","3200 block of East Clay Avenue",0,4,"N/A","Fresno ,   California",-119.7725868,36.7468422
"61","September 29, 2016","California","San Francisco","Jones and Ellis Streets",1,3,"N/A","San Francisco ,   California",-122.4194155,37.7749295
"62","September 26, 2016","Texas","Humble","21219 Grand Linden Court",0,4,"N/A","Humble ,   Texas",-95.2621553,29.9988312
"63","September 26, 2016","Texas","Houston","5450 Weslayan St",1,6,"N/A","Houston ,   Texas",-95.3698028,29.7604267
